cod_mun,municipio,cod_dep,departamento,lat,lon
18001,FLORENCIA,18,CAQUETÁ,1.74825,-75.55666
18029,ALBANIA,18,CAQUETÁ,1.22388,-75.88432
18094,BELÉN DE LOS ANDAQUÍES,18,CAQUETÁ,1.50603,-75.87154
18247,EL DONCELLO,18,CAQUETÁ,1.78694,-75.19421
18256,EL PAUJÍL,18,CAQUETÁ,1.62093,-75.23303
18410,LA MONTAÑITA,18,CAQUETÁ,1.30338,-75.23497
18460,MILÁN,18,CAQUETÁ,1.14883,-75.38977
18479,MORELIA,18,CAQUETÁ,1.37779,-75.6684
18610,SAN JOSÉ DEL FRAGUA,18,CAQUETÁ,1.31657,-76.11101
18860,VALPARAÍSO,18,CAQUETÁ,1.06794,-75.62989
18150,CARTAGENA DEL CHAIRÁ,18,CAQUETÁ,0.65109,-74.27525
18753,SAN VICENTE DEL CAGUÁN,18,CAQUETÁ,1.5666,-74.25988
18756,SOLANO,18,CAQUETÁ,0.21196,-73.12471
18785,SOLITA,18,CAQUETÁ,0.9092,-75.63348
18205,CURILLO,18,CAQUETÁ,1.06295,-75.95778
18592,PUERTO RICO,18,CAQUETÁ,2.01721,-75.07234
19001,POPAYÁN,19,CAUCA,2.4751,-76.59254
19022,ALMAGUER,19,CAUCA,1.91428,-76.82904
19050,ARGELIA,19,CAUCA,2.32829,-77.26128
19075,BALBOA,19,CAUCA,2.08086,-77.20981
19100,BOLÍVAR,19,CAUCA,1.84974,-76.96127
19110,BUENOS AIRES,19,CAUCA,3.04592,-76.68442
19130,CAJIBÍO,19,CAUCA,2.64616,-76.70859
19137,CALDONO,19,CAUCA,2.80795,-76.46625
19142,CALOTO,19,CAUCA,3.04701,-76.36723
19212,CORINTO,19,CAUCA,3.13457,-76.21876
19290,FLORENCIA,19,CAUCA,1.70089,-77.07672
19300,GUACHENÉ,19,CAUCA,3.14166,-76.39075
19355,INZÁ,19,CAUCA,2.49773,-76.13893
19364,JAMBALÓ,19,CAUCA,2.84904,-76.31126
19392,LA SIERRA,19,CAUCA,2.19301,-76.79429
19397,LA VEGA,19,CAUCA,2.05625,-76.76303
19450,MERCADERES,19,CAUCA,1.79349,-77.18132
19455,MIRANDA,19,CAUCA,3.22487,-76.21386
19473,MORALES,19,CAUCA,2.81582,-76.75308
19513,PADILLA,19,CAUCA,3.19865,-76.33532
19517,PÁEZ,19,CAUCA,2.73343,-75.99599
19532,PATÍA,19,CAUCA,2.14736,-77.05712
19533,PIAMONTE,19,CAUCA,1.15609,-76.3102
19548,PIENDAMÓ - TUNÍA,19,CAUCA,2.7124,-76.56696
19573,PUERTO TEJADA,19,CAUCA,3.26733,-76.41848
19585,PURACÉ,19,CAUCA,2.28844,-76.37436
19622,ROSAS,19,CAUCA,2.25483,-76.74953
19693,SAN SEBASTIÁN,19,CAUCA,1.85758,-76.71803
19698,SANTANDER DE QUILICHAO,19,CAUCA,2.98167,-76.49619
19701,SANTA ROSA,19,CAUCA,1.52253,-76.53734
19743,SILVIA,19,CAUCA,2.64713,-76.34824
19760,SOTARÁ - PAISPAMBA,19,CAUCA,2.22445,-76.61291
19780,SUÁREZ,19,CAUCA,2.92397,-76.74957
19785,SUCRE,19,CAUCA,2.06225,-76.91121
19807,TIMBÍO,19,CAUCA,2.37491,-76.69733
19821,TORIBÍO,19,CAUCA,2.97783,-76.20096
19824,TOTORÓ,19,CAUCA,2.50263,-76.3962
19256,EL TAMBO,19,CAUCA,2.53102,-76.99796
19318,GUAPI,19,CAUCA,2.41136,-77.68932
19418,LÓPEZ DE MICAY,19,CAUCA,3.0013,-77.21922
19809,TIMBIQUÍ,19,CAUCA,2.69823,-77.48915
19845,VILLA RICA,19,CAUCA,3.17998,-76.46434
76001,CALI,76,VALLE DEL CAUCA,3.39927,-76.57784
76036,ANDALUCÍA,76,VALLE DEL CAUCA,4.1542,-76.17197
76041,ANSERMANUEVO,76,VALLE DEL CAUCA,4.7991,-76.0333
76054,ARGELIA,76,VALLE DEL CAUCA,4.7139,-76.13955
76111,GUADALAJARA DE BUGA,76,VALLE DEL CAUCA,3.85573,-76.09867
76113,BUGALAGRANDE,76,VALLE DEL CAUCA,4.19678,-76.08986
76122,CAICEDONIA,76,VALLE DEL CAUCA,4.32007,-75.8358
76126,CALIMA,76,VALLE DEL CAUCA,3.94026,-76.63368
76130,CANDELARIA,76,VALLE DEL CAUCA,3.38222,-76.38598
76147,CARTAGO,76,VALLE DEL CAUCA,4.70666,-75.92285
76243,EL ÁGUILA,76,VALLE DEL CAUCA,4.91006,-76.06221
76246,EL CAIRO,76,VALLE DEL CAUCA,4.75786,-76.22117
76248,EL CERRITO,76,VALLE DEL CAUCA,3.679,-76.20582
76250,EL DOVIO,76,VALLE DEL CAUCA,4.5438,-76.27086
76275,FLORIDA,76,VALLE DEL CAUCA,3.3035,-76.16814
76306,GINEBRA,76,VALLE DEL CAUCA,3.73692,-76.19117
76318,GUACARÍ,76,VALLE DEL CAUCA,3.78503,-76.30065
76020,ALCALÁ,76,VALLE DEL CAUCA,4.67945,-75.78803
76497,OBANDO,76,VALLE DEL CAUCA,4.59473,-75.95224
76520,PALMIRA,76,VALLE DEL CAUCA,3.55523,-76.22859
76563,PRADERA,76,VALLE DEL CAUCA,3.41843,-76.18431
76606,RESTREPO,76,VALLE DEL CAUCA,3.80638,-76.53458
76616,RIOFRÍO,76,VALLE DEL CAUCA,4.10573,-76.37388
76622,ROLDANILLO,76,VALLE DEL CAUCA,4.44809,-76.1703
76670,SAN PEDRO,76,VALLE DEL CAUCA,3.97993,-76.20725
76736,SEVILLA,76,VALLE DEL CAUCA,4.1866,-75.88627
76823,TORO,76,VALLE DEL CAUCA,4.64459,-76.07687
76828,TRUJILLO,76,VALLE DEL CAUCA,4.23117,-76.34594
76834,TULUÁ,76,VALLE DEL CAUCA,4.02814,-76.03263
76845,ULLOA,76,VALLE DEL CAUCA,4.70705,-75.77479
76863,VERSALLES,76,VALLE DEL CAUCA,4.63348,-76.21473
76869,VIJES,76,VALLE DEL CAUCA,3.74234,-76.47279
76890,YOTOCO,76,VALLE DEL CAUCA,3.90306,-76.39181
76892,YUMBO,76,VALLE DEL CAUCA,3.59712,-76.50822
76895,ZARZAL,76,VALLE DEL CAUCA,4.35695,-76.04936
76403,LA VICTORIA,76,VALLE DEL CAUCA,4.48347,-75.96587
76400,LA UNIÓN,76,VALLE DEL CAUCA,4.54178,-76.10469
76377,LA CUMBRE,76,VALLE DEL CAUCA,3.698,-76.5914
76364,JAMUNDÍ,76,VALLE DEL CAUCA,3.21094,-76.62703
76100,BOLÍVAR,76,VALLE DEL CAUCA,4.36259,-76.36103
76233,DAGUA,76,VALLE DEL CAUCA,3.64436,-76.721
76109,BUENAVENTURA,76,VALLE DEL CAUCA,3.61175,-77.08483
86001,MOCOA,86,PUTUMAYO,1.22272,-76.68526
86219,COLÓN,86,PUTUMAYO,1.21258,-76.97326
86320,ORITO,86,PUTUMAYO,0.67519,-76.94682
86749,SIBUNDOY,86,PUTUMAYO,1.23127,-76.91544
86755,SAN FRANCISCO,86,PUTUMAYO,1.13452,-76.84477
86757,SAN MIGUEL,86,PUTUMAYO,0.30487,-76.8515
86760,SANTIAGO,86,PUTUMAYO,1.08122,-76.99854
86865,VALLE DEL GUAMUEZ,86,PUTUMAYO,0.41422,-76.88119
86885,VILLAGARZÓN,86,PUTUMAYO,0.91058,-76.73736
