cod_dep,departamento,cod_mun,municipio,cultivo,desagregacion,ciclo_cultivo,anio,periodo,semestre,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_tha,precip_total_mm,precip_dias_lluvia,temp_media_c,temp_max_media_c,temp_min_media_c,radiacion_media,humedad_media_pct
05,ANTIOQUIA,05051,ARBOLETES,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,4800,4650,11625,2.5,953.23,131,26.532663043478262,30.45114130434783,24.023858695652176,17.327228260869564,87.6720652173913
05,ANTIOQUIA,05101,CIUDAD BOLIVAR,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,450,450,1350,3.0,1736.69,137,20.486141304347825,23.83777173913043,18.15483695652174,15.186739130434784,91.52358695652174
05,ANTIOQUIA,05842,URAMITA,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,405,180,630,3.5,1373.35,130,20.68521739130435,23.98711956521739,18.25211956521739,15.667554347826087,90.6063043478261
05,ANTIOQUIA,05380,LA ESTRELLA,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,3,3,12,4.0,1222.41,126,17.470326086956522,21.399184782608696,14.517717391304348,18.047934782608696,88.24820652173914
13,BOLIVAR,13442,MARIA LA BAJA,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,2030,2030,7105,3.5,1059.28,141,28.067445652173912,30.757608695652173,26.47625,18.069130434782608,82.4645652173913
13,BOLIVAR,13473,MORALES,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,800,700,1750,2.5,435.19,86,27.030652173913044,33.025815217391305,22.680978260869566,18.109076086956524,70.42532608695652
13,BOLIVAR,13006,ACHI,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,500,210,527,2.51,473.11,84,27.971739130434784,33.05679347826087,24.245815217391304,17.99157608695652,74.32326086956522
13,BOLIVAR,13580,REGIDOR,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,120,100,250,2.5,435.19,86,27.030652173913044,33.025815217391305,22.680978260869566,18.109076086956524,70.42532608695652
17,CALDAS,17380,LA DORADA,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,200,200,700,3.5,665.21,109,21.848478260869566,27.397934782608697,17.713967391304347,18.378532608695654,77.01478260869565
17,CALDAS,17877,VITERBO,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,180,180,1080,6.0,885.02,128,15.836521739130434,20.534728260869564,12.23521739130435,17.46538043478261,86.30048913043478
17,CALDAS,17513,PACORA,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,172,172,571,3.32,1130.03,130,17.521195652173912,21.821141304347826,14.178641304347826,17.46538043478261,87.37733695652175
17,CALDAS,17001,MANIZALES,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,110,110,340,3.09,885.02,128,15.836521739130434,20.534728260869564,12.23521739130435,17.46538043478261,86.30048913043478
17,CALDAS,17873,VILLAMARIA,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,69,69,260,3.79,885.02,128,15.836521739130434,20.534728260869564,12.23521739130435,16.339021739130434,86.30048913043478
17,CALDAS,17050,ARANZAZU,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,50,45,193,4.29,1130.03,130,17.521195652173912,21.821141304347826,14.178641304347826,17.46538043478261,87.37733695652175
17,CALDAS,17272,FILADELFIA,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,47,47,282,6.0,1130.03,130,17.521195652173912,21.821141304347826,14.178641304347826,17.46538043478261,87.37733695652175
17,CALDAS,17388,LA MERCED,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,33,33,110,3.33,1130.03,130,17.521195652173912,21.821141304347826,14.178641304347826,17.46538043478261,87.37733695652175
17,CALDAS,17088,BELALCAZAR,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,30,30,135,4.5,885.02,128,15.836521739130434,20.534728260869564,12.23521739130435,16.339021739130434,86.30048913043478
17,CALDAS,17665,SAN JOSE,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,25,25,110,4.4,885.02,128,15.836521739130434,20.534728260869564,12.23521739130435,17.46538043478261,86.30048913043478
17,CALDAS,17174,CHINCHINA,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,11,11,60,5.41,885.02,128,15.836521739130434,20.534728260869564,12.23521739130435,16.339021739130434,86.30048913043478
85,CASANARE,85263,PORE,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,48,48,240,5.0,795.08,105,26.016902173913042,30.563478260869566,22.311956521739127,18.004891304347826,78.27532608695653
85,CASANARE,85250,PAZ DE ARIPORO,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,39,39,183,4.7,738.0,75,26.78538043478261,31.007065217391304,23.104999999999997,17.228315217391305,80.60809782608695
85,CASANARE,85125,HATO COROZAL,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,34,34,156,4.6,705.23,91,26.706684782608693,31.03538043478261,23.0058152173913,17.435815217391305,79.46092391304347
85,CASANARE,85300,SABANALARGA,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2006,2006B,B,11,11,61,5.5,742.12,95,18.231141304347826,22.24233695652174,15.105217391304349,17.559021739130436,86.0233152173913
