cod_dep,departamento,cod_mun,municipio,cultivo,desagregacion,ciclo_cultivo,anio,periodo,semestre,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_tha
63,QUINDIO,63690,SALENTO,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2007,2007A,A,0,0,0,2.5
23,CORDOBA,23350,LA APARTADA,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2010,2010B,B,53,0,0,
70,SUCRE,70820,TOLU,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2010,2010B,B,10,0,0,
76,VALLE DEL CAUCA,76041,ANSERMANUEVO,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2011,2011A,A,36,0,0,
19,CAUCA,19845,VILLA RICA,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2011,2011B,B,25,0,0,
63,QUINDIO,63548,PIJAO,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2011,2011B,B,0,0,0,1.8
76,VALLE DEL CAUCA,76041,ANSERMANUEVO,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2011,2011B,B,203,0,0,
70,SUCRE,70110,BUENAVISTA,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2014,2014A,A,5,0,0,
20,CESAR,20614,RIO DE ORO,MAIZ,MAIZ TECNIFICADO,TRANSITORIO,2015,2015B,B,80,0,0,
63,QUINDIO,63401,LA TEBAIDA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2007,2007A,A,0,0,0,1.5
13,BOLIVAR,13894,ZAMBRANO,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2008,2008B,B,20,0,0,
05,ANTIOQUIA,05021,ALEJANDRIA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2009,2009B,B,50,0,0,
08,ATLANTICO,08520,PALMAR DE VARELA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2010,2010B,B,410,0,0,
08,ATLANTICO,08634,SABANAGRANDE,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2010,2010B,B,168,0,0,
08,ATLANTICO,08436,MANATI,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2010,2010B,B,150,0,0,
13,BOLIVAR,13468,MOMPOS,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2010,2010B,B,180,0,0,
